"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GNI per capita (current LCU)","NY.GNP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","11895.3463149288","14320.7288831792","17486.6427331412","20263.7195374154","21594.1867321084","23477.9045769091","24617.0567350192","25880.4369953179","28277.5952058767","29281.3733475346","29367.268522422","31291.6420435453","33589.2188895547","33544.8755841578","36543.9771272133","36004.1273417251","35501.7572821861","38264.949317069","41025.7531165255","34486.648230655","42567.8688194759","40983.4707938093","48358.9940247926","43427.6967442227","40662.2233351008","41732.6675829264","42968.2163096725","43423.0414005205","45049.9995318659","47080.3572086435","46893.8391042372","48099.3600355401","50319.4700391411","52356.9955743565","39445.7179594171","46281.1490405226","53411.3848151616","57204.7191511733","65325.8347327987","",
"Africa Eastern and Southern","AFE","GNI per capita (current LCU)","NY.GNP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GNI per capita (current LCU)","NY.GNP.PCAP.CN","2733.79973952531","2734.94399822533","2668.96189934803","3592.07126835613","3739.43459953101","4603.4240407142","6263.15266459161","7319.65541651171","5865.99012245324","5872.52394823502","7112.40822070396","7270.25591244976","6192.15324907944","6555.34701886388","7947.62939698986","8517.3314386446","8997.04003514282","10179.3328953771","11145.0357607251","12082.984441437","12445.6016112005","14726.601000655","","","","","","","","","","","","","","","","","","","8038.25335276471","6605.45119929411","8656.95597512166","9868.83540786808","10737.5172480356","12784.0331074098","13942.2560977001","18984.5579974752","19444.442261042","22202.9794873324","25723.4444743828","28936.5289820929","33755.8973756377","36124.9121675363","35985.6207983753","36360.0085056162","35696.9493477521","36418.5485669438","36617.4313589031","39401.2828467026","39582.4079892131","31467.8223389299","31722.258796838","32743.9966087369","29716.421934026","",
"Africa Western and Central","AFW","GNI per capita (current LCU)","NY.GNP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","GNI per capita (current LCU)","NY.GNP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","2.04517379886943E-05","1.97249357706779E-05","1.90515055547522E-05","1.8414017265535E-05","2.66938065563904E-05","2.58034328887115E-05","5.82191800759993E-05","0.000128785986024145","0.0012863355690885","0.0224079462849301","0.944197781891064","45.6664972828612","105.152706134541","143.49180737722","851.590430602464","4618.08927877095","9713.78026116353","39383.0017707487","77400.0705260985","110080.822758708","168821.695682287","210707.943041913","241573.876886855","295815.652852321","265015.153693504","345058.595134327","449359.455172672","504884.197304137","530666.723047266","563154.197603904","536194.415095953","623596.869667927","737557.661408417","869537.024582586","988178.235278928","1058146.85137711","1412339.66593256","1686327.2948929","1948491.91107047","2569874.77965717","3177444.68162801",
"Albania","ALB","GNI per capita (current LCU)","NY.GNP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","5496.23213375159","5494.10104419849","5551.25246680463","5399.3848109599","5222.70374651215","5583.71693676128","4933.21856224567","4751.19918941836","14259.3541993182","38557.5186836498","55895.7536252126","85744.9722754114","109055.335029654","109222.91561649","129337.647745107","149224.940925341","171988.625123704","196467.822211359","212799.424059574","236509.299957626","256967.916069666","279189.799557494","308574.000007352","347549.022918051","379242.288029033","393948.15562256","426983.285530726","450708.58441516","459660.155877496","488302.677444938","510238.838734472","535212.278470307","562272.634560949","597687.818342814","636162.854287613","658099.376859811","644197.499723154","739345.159095528","861603.754064633","967911.015450781","1051012.37678409","1126131.35505069",
"Andorra","AND","GNI per capita (current LCU)","NY.GNP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40442.9963124722","36982.1181183768","38588.6478485019","42010.5965748698","44813.6328782032","46299.3873416486","48880.6281396434",
"Arab World","ARB","GNI per capita (current LCU)","NY.GNP.PCAP.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","GNI per capita (current LCU)","NY.GNP.PCAP.CN","","","","","","","","","","","16848.6443832538","19908.6216275106","22211.6925228693","34390.7119745921","92957.1140696849","107298.580406222","122650.330696937","133242.273073138","114352.09303771","140096.582092302","166610.136687998","170972.067706198","151989.940545453","128331.508446092","119465.577723056","111791.219264524","83560.0144147779","84956.9208712245","80398.4391207453","87428.2527836116","104477.074428148","97083.3348616035","96418.6882959054","93453.4495180895","94648.871225176","101963.394795664","105821.111664621","106054.117327616","96536.6868601421","94884.7095644868","115033.836556833","106889.310524438","102780.004601206","108877.069883541","123162.931214141","144469.022412994","166321.887625864","173868.536598092","186040.46262178","140263.089270681","164465.849117056","190755.908016473","195311.439059573","195771.423590483","193931.197545692","165685.722828386","157755.060092869","161718.235047888","173664.584874347","169511.06108436","138790.697724703","161743.187966842","186435.066159295","188198.88804142","189981.546765054","",
"Argentina","ARG","GNI per capita (current LCU)","NY.GNP.PCAP.CN","6.61788374841712E-09","8.25634480115965E-09","1.03761620740701E-08","1.213862162699E-08","1.69399986072227E-08","2.23550980301799E-08","2.78668836668991E-08","3.52365413590096E-08","3.93752502474776E-08","4.62075520984541E-08","4.83727378764852E-08","6.93290848641773E-08","1.11017837723147E-07","1.89451367018413E-07","2.56906640476383E-07","7.60018525238378E-07","3.89501942239949E-06","1.05496993330601E-05","2.59522663552969E-05","6.94503731070832E-05","0.000135897288794255","0.000256464675205582","0.000710130478004936","0.00351362095464064","0.0251135406503271","0.165489089507896","0.309392645328213","0.710985849885986","3.34261238924509","92.1072999776765","2011.7840654116","5275.54758317817","6601.26773311681","6837.22818304617","7330.76195926034","7224.48663274215","7508.28560328659","7973.81970981193","8015.37743801285","7502.69509327462","7434.19379392435","6936.11114736082","7802.24388274435","9389.38002276789","11109.1159487258","13166.3189533442","17473.1811262473","21827.6011705395","27736.1799808372","29606.8093318022","38875.0096672954","50723.8743815698","61087.2867215264","76944.7571282586","104249.400411226","134393.807541328","183299.812436417","234554.006121715","318413.29571087","460529.87570782","585866.473017936","999548.036663614","1790120.82116242","4134425.85158379","12514458.039028","18110130.9967968",
