year,income_usd
2001,519.923237124901
2002,530.249434990129
2003,539.341274830103
2004,537.69909645509
2005,556.668941604699
2006,581.089226828728
2007,594.489876317431
2008,597.556578645657
2009,627.189080305122
2010,662.161647703845
2011,662.978944581021
2012,681.354819727333
2013,698.002338993211
2014,717.106579645502
2015,731.628191433629
2016,758.439982556382
2017,762.88911050565
2018,807.984236674603
2019,863.467818297625
2020,877.456548419049
2021,931.021374442082
2022,986.573277344686
2023,994.348298312091
2024,1006.46610752093
2025,1031.65997364247
