year,population,consumption_npr_total,consumption_pc_npr
1975,13870695.0,13652000000.0,984.2333062618708
1976,14177649.0,14059999700.0,991.7017765075154
1977,14499175.0,13688000000.0,944.0537134009348
1978,14839695.0,15621000600.0,1052.649707423232
1979,15190590.0,17741000400.0,1167.8940975959458
1980,15553105.0,19194999000.0,1234.158645492331
1981,15922423.0,22410999900.0,1407.5119031820723
1982,16297987.0,25271999000.0,1550.6208834256647
1983,16689119.0,27458000400.0,1645.2636235621544
1984,17085242.0,31859999200.0,1864.7672183981942
1985,17477692.0,35653000600.0,2039.9146866760211
1986,17868124.0,44181800000.0,2472.6602524137397
1987,18250505.0,50342370000.0,2758.4096988001156
1988,18638661.0,61276440000.0,3287.598824829745
1989,19057807.0,71135160000.0,3732.599453861612
1990,19524573.0,87226478000.0,4467.52295171833
1991,20036500.0,102118735000.0,5096.635390412497
1992,20609707.0,124116700000.0,6022.244760684856
1993,21180159.0,139265800000.0,6575.295303496069
1994,21717479.0,163438800000.0,7525.680121527917
1995,22245439.0,164595501300.0,7399.06734589504
1996,22741862.0,190095164300.0,8358.821467652913
1997,23219463.0,216364000000.0,9318.217221474932
1998,23680357.0,231392000000.0,9771.474306742926
1999,24125199.0,264944000000.0,10982.044127387302
2000,24546509.0,287947000000.0,11730.670133174539
2001,24946748.0,354233000000.0,14199.566211996851
2002,25328981.0,377257392700.0,14894.298065129426
2003,25688758.0,407438219000.0,15860.56511568212
2004,26016656.0,427288056800.0,16423.634797646555
2005,26309458.0,468848554700.0,17820.532627468037
2006,26565425.0,538533122000.0,20271.95582227651
2007,26788492.0,589425705900.0,22002.94461890576
2008,26990037.0,654806878400.0,24261.058938155587
2009,27173035.0,788514723600.0,29018.279467126144
2010,27341952.0,936995666400.0,34269.523492689914
2011,27464494.0,1320301539000.0,48073.03345912726
2012,27534915.0,1459155441500.0,52992.91613938158
2013,27589996.0,1642996188300.0,59550.432276249696
2014,27672370.0,1844828097900.0,66666.79066158771
2015,27823629.0,2025258557100.0,72789.15906692114
2016,27955462.0,2306446777600.0,82504.33412976684
2017,28011258.0,2415457416800.0,86231.6650255408
2018,28079689.0,2666156070400.0,94949.6296201856
2019,28414064.0,2955149511100.0,104003.05676442482
2020,28966574.0,3313677560000.0,114396.59933549615
2021,29475010.0,3715908897300.0,126069.80955392381
2022,29715436.0,4230259499500.0,142358.99145144632
2023,29694614.0,4623873747700.0,155714.22304731762
2024,29651054.0,4929131549780.81,166237.98768774996
2025,29618118.0,5252848985426.8,177352.55783054142
